wavenumber,intensity,is_peak_UI_default,is_peak_prominence_5pct_range,is_peak_relaxed_5pct
358.0,-1.6152859e-06,0,0,0
360.0,0.00369721046,0,0,0
362.0,0.0104014343,0,0,0
364.0,0.0188741907,0,0,0
366.0,0.0250627808,0,0,0
368.0,0.0233861767,0,0,0
370.0,0.0153204203,0,0,0
372.0,0.00609184476,0,0,0
374.0,0.00257730484,0,0,0
376.0,0.00891907234,0,0,0
378.0,0.0231784098,0,0,0
380.0,0.0357569121,0,0,0
382.0,0.0410041213,0,0,0
384.0,0.0419202819,0,0,0
386.0,0.0431457087,0,0,0
388.0,0.0426039137,0,0,0
390.0,0.0380752683,0,0,0
392.0,0.0321105868,0,0,0
394.0,0.0297444519,0,0,0
396.0,0.033198677,0,0,0
398.0,0.038896095,0,0,0
400.0,0.0427352861,0,0,0
402.0,0.0488662124,0,0,0
404.0,0.0640880466,0,0,0
406.0,0.0911168009,0,0,0
408.0,0.124467343,0,0,0
410.0,0.158941105,0,0,0
412.0,0.201894611,0,0,0
414.0,0.263523608,0,0,0
416.0,0.346080959,0,0,0
418.0,0.44401449,0,0,0
420.0,0.546155572,0,0,0
422.0,0.65633148,0,0,0
424.0,0.781562567,0,0,0
426.0,0.905171096,0,0,0
428.0,1.00898528,0,0,0
430.0,1.08359611,0,0,0
432.0,1.12641048,0,0,0
434.0,1.14269662,0,1,1
436.0,1.13634384,0,0,0
438.0,1.10601521,0,0,0
440.0,1.05500472,0,0,0
442.0,0.987015843,0,0,0
444.0,0.907137096,0,0,0
446.0,0.826233983,0,0,0
448.0,0.754734993,0,0,0
450.0,0.687539458,0,0,0
452.0,0.618841887,0,0,0
454.0,0.549440622,0,0,0
456.0,0.478135526,0,0,0
458.0,0.404773623,0,0,0
460.0,0.330656171,0,0,0
462.0,0.259821504,0,0,0
464.0,0.201917142,0,0,0
466.0,0.161012948,0,0,0
468.0,0.134057462,0,0,0
470.0,0.114885472,0,0,0
472.0,0.0960650519,0,0,0
474.0,0.0784768388,0,0,0
476.0,0.067527324,0,0,0
478.0,0.061922431,0,0,0
480.0,0.0583635494,0,0,0
482.0,0.0478842184,0,0,0
484.0,0.0266102254,0,0,0
486.0,0.00677125482,0,0,0
488.0,-2.74181332e-07,0,0,0
490.0,0.00419844408,0,0,0
492.0,0.0184949823,0,0,0
494.0,0.0293926485,0,0,0
496.0,0.0322506912,0,0,0
498.0,0.0304964948,0,0,0
500.0,0.0256027579,0,0,0
502.0,0.0186138079,0,0,0
504.0,0.0111333188,0,0,0
506.0,0.00644264836,0,0,0
508.0,0.00755845942,0,0,0
510.0,0.00979373418,0,0,0
512.0,0.00899938308,0,0,0
514.0,0.00798072852,0,0,0
516.0,0.0102175167,0,0,0
518.0,0.0145166395,0,0,0
520.0,0.0145699866,0,0,0
522.0,0.00880621932,0,0,0
524.0,0.00505512953,0,0,0
526.0,0.00559191406,0,0,0
528.0,0.0104401885,0,0,0
530.0,0.0154206445,0,0,0
532.0,0.0158106405,0,0,0
534.0,0.0136617869,0,0,0
536.0,0.0144068757,0,0,0
538.0,0.0172280893,0,0,0
540.0,0.0208439361,0,0,0
542.0,0.0238653012,0,0,0
544.0,0.0259577613,0,0,0
546.0,0.0262002312,0,0,0
548.0,0.0238357522,0,0,0
550.0,0.0207092725,0,0,0
552.0,0.0183411278,0,0,0
554.0,0.015436965,0,0,0
556.0,0.00926938653,0,0,0
558.0,0.002669245,0,0,0
560.0,9.12070318e-05,0,0,0
562.0,0.00260365009,0,0,0
564.0,0.0100366557,0,0,0
566.0,0.0179942716,0,0,0
568.0,0.02322408,0,0,0
570.0,0.0246664621,0,0,0
572.0,0.0218781307,0,0,0
574.0,0.0168873575,0,0,0
576.0,0.01007987,0,0,0
578.0,0.00431729853,0,0,0
580.0,0.00593087357,0,0,0
582.0,0.0124888476,0,0,0
584.0,0.0211305954,0,0,0
586.0,0.026762642,0,0,0
588.0,0.0241934154,0,0,0
590.0,0.0185501967,0,0,0
592.0,0.0138735268,0,0,0
594.0,0.0135258669,0,0,0
596.0,0.0210709423,0,0,0
598.0,0.0295673478,0,0,0
600.0,0.0319398791,0,0,0
602.0,0.0260931309,0,0,0
604.0,0.0160090122,0,0,0
606.0,0.0109405695,0,0,0
608.0,0.0105972709,0,0,0
610.0,0.0143733472,0,0,0
612.0,0.0232762285,0,0,0
614.0,0.0337334722,0,0,0
616.0,0.0406253859,0,0,0
618.0,0.03848131,0,0,0
620.0,0.0270124283,0,0,0
622.0,0.017869791,0,0,0
624.0,0.013082182,0,0,0
626.0,0.0107363611,0,0,0
628.0,0.00962645467,0,0,0
630.0,0.00801550131,0,0,0
632.0,0.00865492504,0,0,0
634.0,0.0116529763,0,0,0
636.0,0.0159260519,0,0,0
