method,param,min_distance,peak_index,position,intensity,prominence
UI_default_height,0.3,5,263,884.0,10.1334572,10.1334572
UI_default_height,0.3,5,549,1456.0,3.54022884,3.54022884
prominence_5pct_range,0.506672940764295,,38,434.0,1.14269662,1.14269765712091
prominence_5pct_range,0.506672940764295,,263,884.0,10.1334572,10.13345815143912
prominence_5pct_range,0.506672940764295,,347,1052.0,2.81128693,1.6662167300000001
prominence_5pct_range,0.506672940764295,,369,1096.0,2.8378787,2.8375822384
prominence_5pct_range,0.506672940764295,,459,1276.0,1.21495366,1.21373841664
prominence_5pct_range,0.506672940764295,,549,1456.0,3.54022884,3.5402297340696722
relaxed_height_5pct_max,0.50667286,1,38,434.0,1.14269662,1.14269662
relaxed_height_5pct_max,0.50667286,1,263,884.0,10.1334572,10.1334572
relaxed_height_5pct_max,0.50667286,1,347,1052.0,2.81128693,2.81128693
relaxed_height_5pct_max,0.50667286,1,369,1096.0,2.8378787,2.8378787
relaxed_height_5pct_max,0.50667286,1,459,1276.0,1.21495366,1.21495366
relaxed_height_5pct_max,0.50667286,1,549,1456.0,3.54022884,3.54022884
local_maxima,,,4,366.0,0.0250627808,
local_maxima,,,14,386.0,0.0431457087,
local_maxima,,,38,434.0,1.14269662,
local_maxima,,,69,496.0,0.0322506912,
local_maxima,,,76,510.0,0.00979373418,
local_maxima,,,81,520.0,0.0145699866,
local_maxima,,,87,532.0,0.0158106405,
local_maxima,,,94,546.0,0.0262002312,
local_maxima,,,106,570.0,0.0246664621,
local_maxima,,,114,586.0,0.026762642,
local_maxima,,,121,600.0,0.0319398791,
local_maxima,,,129,616.0,0.0406253859,
local_maxima,,,143,644.0,0.0385954417,
local_maxima,,,152,662.0,0.0248799548,
local_maxima,,,157,672.0,0.00991318002,
local_maxima,,,162,682.0,0.0145068886,
local_maxima,,,169,696.0,0.0200233366,
local_maxima,,,177,712.0,0.0164398439,
local_maxima,,,183,724.0,0.0317355804,
local_maxima,,,193,744.0,0.020347802,
local_maxima,,,199,756.0,0.0233998261,
local_maxima,,,206,770.0,0.0148647726,
local_maxima,,,215,788.0,0.00981073361,
local_maxima,,,224,806.0,0.0198188126,
local_maxima,,,234,826.0,0.0107874274,
local_maxima,,,263,884.0,10.1334572,
local_maxima,,,291,940.0,0.0227256007,
local_maxima,,,301,960.0,0.0331600308,
local_maxima,,,312,982.0,0.0152984736,
local_maxima,,,320,998.0,0.02754765,
local_maxima,,,347,1052.0,2.81128693,
local_maxima,,,369,1096.0,2.8378787,
local_maxima,,,406,1170.0,0.00150456442,
local_maxima,,,414,1186.0,0.0195785277,
local_maxima,,,421,1200.0,0.0117446305,
local_maxima,,,423,1204.0,0.0118980044,
local_maxima,,,428,1214.0,0.00811821222,
local_maxima,,,431,1220.0,0.00728678703,
local_maxima,,,435,1228.0,0.00763052702,
local_maxima,,,459,1276.0,1.21495366,
local_maxima,,,480,1318.0,0.0713056996,
local_maxima,,,489,1336.0,0.0299747959,
local_maxima,,,498,1354.0,0.0283441525,
local_maxima,,,515,1388.0,0.13319388,
local_maxima,,,549,1456.0,3.54022884,
local_maxima,,,591,1540.0,0.0218875408,
local_maxima,,,595,1548.0,0.0188714266,
local_maxima,,,602,1562.0,0.0218587033,
local_maxima,,,609,1576.0,0.0276112203,
local_maxima,,,621,1600.0,0.0251451246,
local_maxima,,,629,1616.0,0.0472223908,
local_maxima,,,636,1630.0,0.0269500855,
local_maxima,,,644,1646.0,0.0167498011,
local_maxima,,,655,1668.0,0.026525842,
local_maxima,,,663,1684.0,0.0145991556,
local_maxima,,,667,1692.0,0.0119092586,
local_maxima,,,673,1704.0,0.0356025919,
local_maxima,,,683,1724.0,0.0214055851,
local_maxima,,,689,1736.0,0.011026334,
local_maxima,,,695,1748.0,0.0125715844,
local_maxima,,,698,1754.0,0.00913464371,
local_maxima,,,703,1764.0,0.0131199118,
local_maxima,,,708,1774.0,0.022641236,
local_maxima,,,713,1784.0,0.012465436,
local_maxima,,,723,1804.0,0.0276213773,
local_maxima,,,729,1816.0,0.0173856802,
local_maxima,,,738,1834.0,0.0268039461,
local_maxima,,,743,1844.0,0.0183284581,
local_maxima,,,748,1854.0,0.0239686295,
local_maxima,,,754,1866.0,0.0315456018,
local_maxima,,,759,1876.0,0.0304995142,
local_maxima,,,765,1888.0,0.0137646087,
local_maxima,,,771,1900.0,0.0272850152,
local_maxima,,,782,1922.0,0.0220327042,
local_maxima,,,790,1938.0,0.0184267256,
local_maxima,,,798,1954.0,0.0241152868,
local_maxima,,,802,1962.0,0.0165701285,
local_maxima,,,808,1974.0,0.0222358555,
local_maxima,,,816,1990.0,0.0313025974,
local_maxima,,,827,2012.0,0.0195077825,
local_maxima,,,831,2020.0,0.0150409341,
local_maxima,,,838,2034.0,0.0284906384,
local_maxima,,,848,2054.0,0.0343594849,
local_maxima,,,855,2068.0,0.0242829081,
local_maxima,,,863,2084.0,0.0356105492,
local_maxima,,,870,2098.0,0.0118037136,
local_maxima,,,876,2110.0,0.0268419981,
local_maxima,,,881,2120.0,0.011832322,
local_maxima,,,886,2130.0,0.0310299471,
local_maxima,,,895,2148.0,0.0231331494,
local_maxima,,,903,2164.0,0.0187406614,
local_maxima,,,911,2180.0,0.0261380635,
local_maxima,,,918,2194.0,0.0230817497,
local_maxima,,,921,2200.0,0.0111604147,
local_maxima,,,926,2210.0,0.0169113353,
local_maxima,,,932,2222.0,0.0185621381,
local_maxima,,,937,2232.0,0.0203567408,
local_maxima,,,945,2248.0,0.0313013159,
local_maxima,,,952,2262.0,0.0204330049,
local_maxima,,,956,2270.0,0.0272826031,
local_maxima,,,960,2278.0,0.0259764567,
local_maxima,,,970,2298.0,0.0588896051,
local_maxima,,,978,2314.0,0.0386203639,
local_maxima,,,984,2326.0,0.0248335339,
local_maxima,,,990,2338.0,0.0240147337,
local_maxima,,,993,2344.0,0.0253350865,
local_maxima,,,998,2354.0,0.0373816527,
local_maxima,,,1000,2358.0,0.0379090831,
local_maxima,,,1006,2370.0,0.0234681275,
local_maxima,,,1010,2378.0,0.0554294586,
local_maxima,,,1020,2398.0,0.0431601182,
local_maxima,,,1027,2412.0,0.0153008457,
local_maxima,,,1033,2424.0,0.0421054885,
local_maxima,,,1040,2438.0,0.0353038684,
