Raman Shift,Raman intensity,Sample name
400,983.9394,Dataset A - Polystyrene-like
420,880.6791,Dataset A - Polystyrene-like
440,895.1276,Dataset A - Polystyrene-like
460,875.1562,Dataset A - Polystyrene-like
480,882.5346,Dataset A - Polystyrene-like
500,833.8045,Dataset A - Polystyrene-like
520,806.9371,Dataset A - Polystyrene-like
540,878.9906,Dataset A - Polystyrene-like
560,746.919,Dataset A - Polystyrene-like
580,883.7561,Dataset A - Polystyrene-like
600,871.9055,Dataset A - Polystyrene-like
620,814.5277,Dataset A - Polystyrene-like
640,851.73,Dataset A - Polystyrene-like
660,802.4812,Dataset A - Polystyrene-like
680,791.7129,Dataset A - Polystyrene-like
700,883.9071,Dataset A - Polystyrene-like
720,843.3129,Dataset A - Polystyrene-like
740,930.1798,Dataset A - Polystyrene-like
760,958.8704,Dataset A - Polystyrene-like
780,859.9505,Dataset A - Polystyrene-like
800,837.9969,Dataset A - Polystyrene-like
820,904.5368,Dataset A - Polystyrene-like
840,731.4451,Dataset A - Polystyrene-like
860,755.618,Dataset A - Polystyrene-like
880,803.6405,Dataset A - Polystyrene-like
900,830.6079,Dataset A - Polystyrene-like
920,945.396,Dataset A - Polystyrene-like
940,2433.6615,Dataset A - Polystyrene-like
960,8115.8345,Dataset A - Polystyrene-like
980,12797.4106,Dataset A - Polystyrene-like
1000,8100.7789,Dataset A - Polystyrene-like
1020,2427.7287,Dataset A - Polystyrene-like
1040,892.4838,Dataset A - Polystyrene-like
1060,747.2322,Dataset A - Polystyrene-like
1080,730.7484,Dataset A - Polystyrene-like
1100,799.1739,Dataset A - Polystyrene-like
1120,766.271,Dataset A - Polystyrene-like
1140,864.4948,Dataset A - Polystyrene-like
1160,778.7468,Dataset A - Polystyrene-like
1180,864.2537,Dataset A - Polystyrene-like
1200,712.4967,Dataset A - Polystyrene-like
1220,769.9067,Dataset A - Polystyrene-like
1240,701.3188,Dataset A - Polystyrene-like
1260,756.4395,Dataset A - Polystyrene-like
1280,806.1842,Dataset A - Polystyrene-like
1300,745.7194,Dataset A - Polystyrene-like
1320,750.8409,Dataset A - Polystyrene-like
1340,783.9932,Dataset A - Polystyrene-like
1360,858.5417,Dataset A - Polystyrene-like
1380,719.8025,Dataset A - Polystyrene-like
1400,712.286,Dataset A - Polystyrene-like
1420,732.69,Dataset A - Polystyrene-like
1440,757.5431,Dataset A - Polystyrene-like
1460,726.6215,Dataset A - Polystyrene-like
1480,779.1539,Dataset A - Polystyrene-like
1500,803.2943,Dataset A - Polystyrene-like
1520,706.8116,Dataset A - Polystyrene-like
1540,847.518,Dataset A - Polystyrene-like
1560,699.4164,Dataset A - Polystyrene-like
1580,793.0418,Dataset A - Polystyrene-like
1600,836.6238,Dataset A - Polystyrene-like
1620,1294.0452,Dataset A - Polystyrene-like
1640,2774.765,Dataset A - Polystyrene-like
1660,6944.1247,Dataset A - Polystyrene-like
1680,12813.5582,Dataset A - Polystyrene-like
1700,15822.8463,Dataset A - Polystyrene-like
1720,12783.375,Dataset A - Polystyrene-like
1740,7040.4509,Dataset A - Polystyrene-like
1760,2759.5409,Dataset A - Polystyrene-like
1780,1174.2551,Dataset A - Polystyrene-like
1800,853.3743,Dataset A - Polystyrene-like
1820,757.6481,Dataset A - Polystyrene-like
1840,723.6694,Dataset A - Polystyrene-like
1860,869.9803,Dataset A - Polystyrene-like
1880,847.2472,Dataset A - Polystyrene-like
1900,695.4457,Dataset A - Polystyrene-like
1920,855.4561,Dataset A - Polystyrene-like
1940,868.7347,Dataset A - Polystyrene-like
1960,760.0384,Dataset A - Polystyrene-like
1980,880.2153,Dataset A - Polystyrene-like
2000,745.3319,Dataset A - Polystyrene-like
2020,797.0502,Dataset A - Polystyrene-like
2040,816.5789,Dataset A - Polystyrene-like
2060,851.8371,Dataset A - Polystyrene-like
2080,849.8897,Dataset A - Polystyrene-like
2100,843.9239,Dataset A - Polystyrene-like
2120,792.5277,Dataset A - Polystyrene-like
2140,914.6684,Dataset A - Polystyrene-like
2160,872.9994,Dataset A - Polystyrene-like
2180,814.7098,Dataset A - Polystyrene-like
2200,814.9458,Dataset A - Polystyrene-like
2220,915.3023,Dataset A - Polystyrene-like
2240,878.3866,Dataset A - Polystyrene-like
2260,802.1966,Dataset A - Polystyrene-like
2280,828.8382,Dataset A - Polystyrene-like
2300,900.54,Dataset A - Polystyrene-like
2320,751.0063,Dataset A - Polystyrene-like
2340,806.5829,Dataset A - Polystyrene-like
2360,886.0354,Dataset A - Polystyrene-like
2380,788.6886,Dataset A - Polystyrene-like
2400,929.8069,Dataset A - Polystyrene-like
